val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.278383255004883,2.7799906730651855,159.7389678955078,55.312496185302734,13.327126502990723,3.6849846839904785,120.44239807128906,57.89969253540039,25.54939842224121,62.55649185180664,38.8738899230957,20.20758056640625,28.17441177368164,47.39281463623047,39.66987991333008,22.077743530273438
1.2905008792877197,0.3468993604183197,6.624549865722656,6.730991363525391,0.5784892439842224,0.2050982415676117,15.250138282775879,5.233763217926025,65.1615982055664,56.561668395996094,40.13585662841797,24.608566284179688,55.12714385986328,49.45566177368164,43.667755126953125,17.19559097290039
342.50341796875,839.3253173828125,190.7621612548828,392.37115478515625,495.7066955566406,944.6016845703125,144.6559600830078,390.59320068359375,38.08320617675781,21.458662033081055,59.264617919921875,62.550376892089844,32.77772521972656,24.16913604736328,72.58575439453125,62.07124328613281
0.0,0.17344968020915985,0.0,0.0,0.18520487844944,0.0,0.0,0.0,0.06501492857933044,0.0,0.0,0.0,0.2516477406024933,0.0,0.0,0.06754752993583679
462.7381896972656,234.49241638183594,265.3838806152344,306.6566467285156,582.8026123046875,338.0157775878906,225.7013702392578,311.5255126953125,18.980878829956055,7.870400905609131,51.75923538208008,50.68105697631836,30.24256706237793,7.799429893493652,33.806331634521484,53.243247985839844
0.0,0.6937987208366394,0.21976421773433685,0.1918562799692154,0.3818470537662506,0.2050982415676117,0.0,0.0,0.0,0.0,0.06568867713212967,0.08861979842185974,0.0,0.0,0.0,0.0
0.0,0.3468993604183197,0.0,0.3837125599384308,0.3818470537662506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06291193515062332,0.0,0.0,0.0786493793129921
1.4972286224365234,9.209617614746094,5.243117332458496,4.92858362197876,3.7500479221343994,3.7434418201446533,2.1994311809539795,4.194021224975586,0.0,1.8192285299301147,2.9555253982543945,3.024941921234131,0.0,0.5235642790794373,1.3940603733062744,2.871772527694702
57.67845153808594,23.901287078857422,8.733325958251953,10.73634147644043,97.2051010131836,31.43010902404785,9.78027629852295,8.263457298278809,0.0,0.0,0.0,0.0,0.06291193515062332,0.0,0.0,0.0
424.3956298828125,237.0474090576172,201.16993713378906,408.99334716796875,587.6068725585938,318.7327575683594,137.05169677734375,417.2326965332031,34.530845642089844,28.052961349487305,37.61192321777344,30.743268966674805,34.97930908203125,32.08781433105469,42.33513259887695,32.778343200683594
0.0,0.17344968020915985,0.0,0.1918562799692154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998104602098465,0.0,0.07555989176034927,0.0
0.0,0.17344968020915985,0.0,0.0,0.37040975689888,0.2050982415676117,0.22172407805919647,0.0,6.380043983459473,4.596363067626953,6.594107151031494,9.805254936218262,10.228157997131348,6.838009357452393,8.419800758361816,6.62875509262085
2.724013328552246,8.053420066833496,1.0936172008514404,4.719904899597168,1.9636132717132568,10.016495704650879,0.44344815611839294,0.6261287331581116,0.0,0.0,0.06568867713212967,0.0,0.06291193515062332,0.0,0.0,0.0786493793129921
