fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
63.86773,64.996056,3,1,11.183101,2.5769677,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.87332,65.50995,1,1,11.18481,3.171311,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.150143,65.05966,1,1,11.242202,2.8014064,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.324066,0,1,11.041738,3.1691,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.763073,-1024.0,1,0,10.318699,3.2171586,1,1
56.723576,64.90557,1,1,11.166882,2.668802,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.94261,64.858246,1,1,10.82691,2.762645,1,1
56.0193,-1024.0,1,0,10.018274,-1024.0,1,0
56.84199,65.60572,1,1,11.320553,3.0594194,1,1
57.270683,65.5292,1,1,11.436437,3.6140776,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.203747,65.131874,1,1,11.542851,3.0417032,1,1
56.607025,65.51822,1,1,11.094045,3.210918,1,1
56.565277,65.445335,1,1,11.104558,3.248015,1,1
57.004333,65.217545,1,1,10.743217,3.2906456,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.947834,65.50121,1,1,18.957468,3.7652206,1,1
-1024.0,65.29131,0,1,11.019244,3.4189355,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.33851,65.363365,1,1,10.234481,3.0525727,1,1
57.155594,64.89282,1,1,11.060392,2.8051054,1,1
56.767155,65.6884,1,1,10.986983,3.3613665,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
