Time V0,Time AD
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-362.6836833562702,61.25070238113403
-250.40746535547078,-211.32158160209656
-154.5704600252211,60.64451861381531
-1024.0,-1024.0
-266.98829529620707,60.40527153015137
-1024.0,-1024.0
-1024.0,-1024.0
-604.7710550092161,-278.48698377609253
-862.7619542311877,-479.5744957923889
-105.9312281422317,60.85492539405823
-1024.0,-1024.0
-878.4392190426588,-483.9408884048462
-1024.0,-751.6554841995239
-1024.0,-1024.0
-1024.0,-1024.0
-462.0768203660846,60.8272385597229
-1024.0,-1024.0
-701.0635113604367,-411.6589632034302
-1024.0,-1024.0
-1024.0,-1024.0
-314.8542764522135,61.09362840652466
-1024.0,-1024.0
-218.46367413550615,60.98768973350525
-557.374384554103,-141.7764015197754
-1024.0,-1024.0
-1024.0,-1024.0
-717.2764187827706,61.4439263343811
-1024.0,-1024.0
-1024.0,-1024.0
-654.1297895722091,61.23727059364319
-523.5553676709533,61.341472864151
-170.82664797082543,60.67254137992859
-1024.0,-1024.0
-315.64395333081484,61.58030462265015
-1024.0,-819.8939371109009
-716.848078167066,61.145225048065186
-444.36235619336367,-74.13287997245789
-1024.0,-1024.0
-621.26244491525,-6.994256258010864
-105.79792021214962,60.489962100982666
-235.55189386196434,61.12343454360962
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-444.54278571903706,-6.531192064285278
-121.4001714065671,60.990418910980225
-1024.0,-1024.0
-589.4772311877459,-344.10897564888
-1024.0,-1024.0
-218.37158143892884,-7.322877407073975
-1024.0,-1024.0
-556.6155856046826,-479.27429819107056
-782.1031046863645,61.089523792266846
-1024.0,-1024.0
-314.8046948630363,60.65981650352478
-1024.0,-1024.0
-1024.0,-1024.0
-218.57850746437907,60.90422964096069
-476.06848451308906,60.65231442451477
-412.1692684646696,60.83876919746399
-57.45422924682498,60.80410289764404
-556.0385109297931,60.54755210876465
-412.86388263478875,-73.92064690589905
-1024.0,-1024.0
-1024.0,-1024.0
-556.8181676175445,-142.05239248275757
-427.1842579115182,-142.27083277702332
-814.6227112486959,61.226242780685425
-620.5404577963054,60.71591639518738
-460.71604779502377,60.98551845550537
-347.23200542107224,-74.18676209449768
-653.5497765727341,60.866095304489136
-718.7946532275528,-142.17739868164062
-798.8438848406076,61.14438343048096
-1024.0,-479.21462297439575
-1024.0,-1024.0
-991.6602865308523,-1024.0
-1024.0,-1024.0
-25.072143781930208,60.36154127120972
-1024.0,-1024.0
-1024.0,-1024.0
-202.83467239513993,-73.94472742080688
-1024.0,-1024.0
-1024.0,-1024.0
-782.4242279976606,-343.43273997306824
-1024.0,-1024.0
-1024.0,-1024.0
-701.0775285772979,61.35043382644653
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-1024.0,-1024.0
-363.6950043232646,60.90520143508911
-1024.0,-1024.0
-1024.0,-1024.0
-750.0318142753094,-344.4705083370209
-1024.0,-1024.0
-573.3241195045412,-551.1464278697968
-138.3568672016263,60.82913684844971
-1024.0,-1024.0
-1024.0,-1024.0
-491.92550698295236,-6.625858545303345
-1007.8434644639492,-483.99695014953613
-234.26929682679474,-208.59814429283142
-798.3937395997345,61.331053495407104
-1024.0,-1024.0
-347.03433460742235,60.54572582244873
-283.1236071847379,60.85737609863281
-186.3976479433477,61.05942440032959
-524.8362963162363,-6.411312103271484
-1024.0,-1024.0
