fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision,Multiplicity V0,Multiplicity AD,Time V0,Time AD
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0048247917438857,0.0312844575382769,-1024.0,-1024.0
56.97213,65.2326,1,1,10.696609,2.8750565,1,1,0.8615370907937177,105.36219960451126,-654.1297895722091,61.23727059364319
57.12549,65.57949,1,1,11.250144,3.1748266,1,1,1.2222234058426693,30.745334029197693,-523.5553676709533,61.341472864151
56.126446,65.16875,1,1,10.79984,2.9459517,1,1,3.934800220653415,266.28007459640503,-170.82664797082543,60.67254137992859
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0066854904871433,0.078233775217086,-1024.0,-1024.0
58.19018,65.11109,1,1,11.527291,2.9986544,1,1,1.6464583169436082,201.98718404769895,-315.64395333081484,61.58030462265015
-1024.0,64.77053,0,1,-1024.0,-1024.0,0,0,0.0232013094937428,2.839467561338097,-1024.0,-819.8939371109009
57.23518,65.36748,1,1,10.849351,2.3389952,1,1,0.5351741319755092,197.79829120635983,-716.848078167066,61.14522504806519
56.618042,65.32222,1,1,11.165765,3.3082447,1,1,2.152061926433817,202.1600317955017,-444.36235619336367,-74.13287997245789
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.00266080891015,0.092916811350733,-1024.0,-1024.0
56.852253,65.2215,1,1,11.400708,3.1228979,1,1,0.9087379712727852,286.3049660921097,-621.26244491525,-6.994256258010864
56.584583,65.299644,1,1,10.828613,2.916108,1,1,3.643997189123184,165.95528435707092,-105.79792021214962,60.489962100982666
57.36249,64.83223,1,1,10.611028,2.6314359,1,1,3.3716174180735834,122.5940043926239,-235.55189386196437,61.12343454360962
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.001704946917016,0.055874100420624,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0049600671045482,0.0493855038657784,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0044094945769757,0.0778962383046746,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.1722170817665755,-1024.0,-1024.0
55.742027,65.84153,1,1,11.431926,3.4520779,1,1,1.7484505022293888,209.9632716178894,-444.54278571903706,-6.531192064285278
57.26491,64.62076,1,1,11.277,2.6179044,1,1,4.512082881992683,135.8238384127617,-121.4001714065671,60.99041891098023
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0273723304271697,-1024.0,-1024.0
57.052765,65.50054,1,1,10.905857,2.6987698,1,1,0.7970520658418536,108.080182752572,-589.4772311877459,-344.10897564888
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0027245936216786,0.0440254337154328,-1024.0,-1024.0
56.290073,65.254005,1,1,11.299614,2.8868906,1,1,3.092621778137982,300.19703006744385,-218.37158143892884,-7.322877407073975
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.001068357611075,0.0276297554373741,-1024.0,-1024.0
-1024.0,65.3368,0,1,10.218136,3.5326405,1,1,0.8522205582703464,139.6290430603549,-556.6155856046826,-479.27429819107056
57.43783,65.13191,1,1,11.588716,2.3613524,1,1,0.2222407740191556,102.04984033107758,-782.1031046863645,61.089523792266846
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0026218027924187,0.0705118128098547,-1024.0,-1024.0
56.82198,65.15315,1,1,11.267625,2.704835,1,1,2.581739196088165,115.95895433425903,-314.8046948630363,60.65981650352478
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0060702291084453,0.0595713173970579,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.01169266004581,0.0557540175504982,-1024.0,-1024.0
55.89559,65.44976,1,1,10.462887,3.1461647,1,1,2.214822514099069,107.29537433385848,-218.57850746437907,60.90422964096069
56.331387,64.99781,1,1,10.853034,2.8739424,1,1,1.3574368491536006,43.74704332649708,-476.06848451308906,60.65231442451477
57.048607,64.776505,1,1,11.234244,3.2149563,1,1,1.1476300284266472,20.368423730134964,-412.1692684646696,60.83876919746399
56.58102,65.095726,1,1,11.01758,2.9689674,1,1,5.528774962760508,72.14675891399384,-57.45422924682498,60.80410289764404
56.39648,64.88783,1,1,10.841829,2.8563352,1,1,1.160111025790684,84.30960196256638,-556.0385109297931,60.54755210876465
57.47699,65.074196,1,1,11.422391,3.0512245,1,1,3.179329974518623,153.84963369369507,-412.8638826347888,-73.92064690589905
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0231307409703731,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.00220675568562,0.0825784420594573,-1024.0,-1024.0
56.175987,64.583824,1,1,11.240027,2.5804,1,1,1.4674098251853138,83.6615783860907,-556.8181676175445,-142.05239248275757
56.83942,65.09717,1,1,11.5420065,2.8647163,1,1,1.7131255178246647,157.32498971372843,-427.1842579115182,-142.27083277702332
57.44538,65.522156,1,1,10.545178,2.8990974,1,1,0.276128533296287,37.29636272788048,-814.6227112486959,61.22624278068543
56.603252,64.94699,1,1,10.659379,2.8677452,1,1,1.2630071280291304,40.06612455844879,-620.5404577963054,60.71591639518738
57.193916,65.25238,1,1,10.45402,3.046103,1,1,1.4774527461850084,41.661562502384186,-460.71604779502377,60.98551845550537
56.972805,64.975075,1,1,11.571562,2.631829,1,1,1.902850227197632,69.67573598772287,-347.23200542107224,-74.18676209449768
57.40378,64.8148,1,1,11.135096,2.412668,1,1,0.6446500963065773,81.7896617949009,-653.5497765727341,60.866095304489136
56.77362,65.817635,1,1,10.935931,3.427436,1,1,0.5155030860914849,14.960205011535436,-718.7946532275528,-142.17739868164062
57.82443,65.02817,1,1,11.679552,2.5991364,1,1,0.366095169680193,66.21070945262909,-798.8438848406076,61.14438343048096
-1024.0,65.75791,0,1,-1024.0,-1024.0,0,0,0.0038074740441516,125.99595777969807,-1024.0,-479.21462297439575
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0045468390453606,0.0778852114453911,-1024.0,-1024.0
-1024.0,-1024.0,0,0,11.097131,-1024.0,1,0,0.0585694327019155,0.063908886630088,-991.6602865308524,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0008690505637787,0.1325347535312175,-1024.0,-1024.0
56.655697,65.03664,1,1,10.977918,2.885402,1,1,5.000337935052812,118.88436795771122,-25.072143781930208,60.36154127120972
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0027901754365302,0.0123754371888935,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0046537778107449,0.0691233230754733,-1024.0,-1024.0
56.391808,64.89846,1,1,10.647922,2.9078577,1,1,3.106487476383336,59.76071247179061,-202.83467239513996,-73.94472742080688
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0009366847225464,0.0739832203835248,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0021708355052396,0.0539323645643889,-1024.0,-1024.0
63.86773,64.996056,3,1,11.183101,2.5769677,1,1,0.5849273717612959,28.419689412694424,-782.4242279976606,-343.43273997306824
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0027491020737215,0.1822775341570377,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0163768353522755,0.1090661343187093,-1024.0,-1024.0
56.87332,65.50995,1,1,11.18481,3.171311,1,1,0.7054098438238725,75.56382822990417,-701.0775285772979,61.35043382644653
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0053796038846485,0.1008057538419961,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0009879803983494,0.0533099821768701,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0021222431678324,0.0959259658120572,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0020610996289178,0.081928776577115,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0010096718324348,0.0339557277038693,-1024.0,-1024.0
56.150143,65.05966,1,1,11.242202,2.8014064,1,1,2.007727918447926,35.764265060424805,-363.6950043232646,60.90520143508911
