fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision,Multiplicity V0,Multiplicity AD,Time V0,Time AD
56.85833,64.7192,1,1,11.246933,2.6577845,1,1,190.01351302862167,3331.712852478028,6.399488393217325,60.769750356674194
56.279934,64.65618,1,1,11.280155,2.970353,1,1,123.39465457201004,2122.697704315185,6.734249273315072,60.45794630050659
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
56.87061,65.15978,1,1,9.788505,2.6795554,1,1,436.9951894283295,6690.873306274414,6.092270517721772,50.34637260437012
56.438667,65.367676,1,1,11.710629,3.4496684,1,1,129.51651567220688,2482.9564361572266,7.378494456410408,60.94797110557556
56.324562,65.36169,1,1,9.770413,2.5520363,1,1,602.750816822052,8932.68815612793,5.687886081635952,46.180734157562256
56.54838,65.29311,1,1,11.239914,3.1981206,1,1,198.87436497211456,3773.962364196777,6.822145890444517,60.90376591682434
56.725643,65.24369,1,1,11.973993,3.3810909,1,1,119.83186340332033,2013.8615608215327,7.168257378041744,60.99399876594544
56.420845,65.13892,1,1,10.836697,2.9376905,1,1,237.3256163597107,4022.3973846435542,6.439420714974403,56.64507293701172
56.291374,64.70915,1,1,9.819014,2.1109438,1,1,445.31204867362976,6427.114486694336,5.626046126242727,60.50495076179504
56.141945,65.378136,1,1,10.676319,3.340551,1,1,172.38989228010178,2864.424072265625,6.493559814989567,57.20789289474487
56.35876,64.80404,1,1,7.7987065,2.2379076,1,1,442.483211517334,7590.213088989258,5.365007092244923,56.56373953819275
56.49512,64.78258,1,1,9.175102,2.1963315,1,1,520.6415455341339,7972.989669799805,5.559854191727936,60.63772749900818
57.23396,65.3957,1,1,10.948282,2.7803514,1,1,457.1873676776886,7267.344985961914,6.506712362170219,61.30598711967468
0.0,0.0,0,0,-9.788106,3.9583242,2,1,7.553769127465784,5.338742613792419,-3.5991652607917786,-17.70800471305847
56.989334,65.02673,1,1,11.110192,2.6723475,1,1,312.39307832717896,6030.89030456543,6.240603771060705,42.15029788017273
56.341587,64.685616,1,1,7.4910874,2.0734193,1,1,560.9689183235168,8117.28239440918,5.001974692568183,60.52088212966919
56.375916,65.21274,1,1,11.50432,3.5329664,1,1,105.25379884243011,2451.8029136657715,7.099263597279787,60.75161099433899
56.233013,65.11054,1,1,8.384672,2.2842677,1,1,581.1293044090271,7999.895324707031,5.536110337823629,38.52803087234497
0.0,0.0,0,0,0.0,0.0,0,0,0.0587520906701684,10.026884868741035,0.0,0.0
56.326736,65.4293,1,1,7.6184206,2.7159493,1,1,623.1187746524811,8900.546600341797,5.621098719537258,60.88205790519714
56.750298,64.82226,1,1,8.434105,2.1980073,1,1,605.0646080970764,9039.85026550293,5.423709588125348,60.79733943939209
56.13765,64.72839,1,1,11.2258835,3.2128477,1,1,90.04296389222145,2065.4028282165527,6.87718652933836,60.401493072509766
56.52843,65.372665,1,1,9.872928,2.5615275,1,1,529.570568561554,8029.385238647461,5.819304073229432,56.84931516647339
56.178104,65.31635,1,1,10.133499,2.7523777,1,1,400.2273290157318,7081.807441711426,5.894773168489337,53.15383958816528
57.041634,66.46777,1,1,12.322922,4.1209445,1,1,3.380040678195656,72.08808183670044,5.09979784861207,62.11392951011658
56.702045,65.41023,1,1,9.105337,3.0009203,1,1,307.98134207725525,5150.718826293945,6.018152549862862,56.948322772979736
56.892384,65.19471,1,1,10.067347,2.5432627,1,1,447.2765619754791,6846.272888183594,6.022758874692954,37.606152057647705
56.752163,65.52568,1,1,11.780988,4.1599574,1,1,10.555582387372851,157.37278413772583,7.299577705562115,61.23393440246582
56.222916,65.10002,1,1,11.26811,3.3984048,1,1,78.55728608369827,1008.4249458312988,7.353639829903841,60.655909061431885
55.859818,65.524254,1,1,10.249918,3.3025045,1,1,312.8906038999557,4594.591896057129,6.338679600507021,60.68525147438049
56.733055,65.02934,1,1,11.769528,3.7614853,1,1,17.006762642413378,366.54625415802,8.006252467632294,60.91857671737671
57.029694,65.286095,1,1,10.993881,3.0271323,1,1,256.09424901008606,4468.989723205566,6.507667688652873,54.02707242965698
56.482265,65.19868,1,1,8.941946,2.6273475,1,1,545.9894297122955,8656.910522460938,5.75592116266489,50.29374051094055
56.96216,65.476326,1,1,11.880837,4.0430055,1,1,50.698666766285896,819.8424072265625,7.848127357661724,61.20559620857239
56.58,64.79134,1,1,8.914861,2.309518,1,1,372.4982011318207,5521.598251342773,5.73436957038939,37.9998733997345
0.0,0.0,0,0,0.0,0.0,0,0,0.0118554206565022,0.8730901181697845,0.0,0.0
56.72566,65.71599,1,1,11.834661,4.162155,1,1,66.73464933037758,1178.9661922454834,7.772409923374653,61.20482635498047
56.113884,65.21521,1,1,8.417479,2.406313,1,1,615.7883214950562,8564.697525024414,5.394442913122475,56.592872619628906
0.0,0.0,0,0,11.568136,4.6798306,1,1,0.5852960273623466,0.563446432352066,0.6590454205870628,0.0
56.673714,65.44916,1,1,11.588649,4.436607,1,1,1.1393009582534432,130.79375743865967,1.598308153450489,61.25456786155701
-36.036648,65.29945,3,1,9.743547,2.7542112,1,1,402.9998548030853,6231.521118164063,5.923378637060523,18.36637806892395
56.820004,65.13338,1,1,9.489324,2.3285828,1,1,543.2028193473816,7707.774322509766,5.620828747749329,46.19162154197693
56.32332,65.367836,1,1,11.367607,3.617488,1,1,79.726033359766,1322.5227851867676,7.176472950726748,60.85305070877075
56.637608,64.8675,1,1,10.784668,2.621582,1,1,262.4802125692368,4453.987815856934,6.306826485320926,60.74682235717773
56.36871,65.6014,1,1,11.289492,3.8649263,1,1,86.8635784983635,1906.6494522094729,7.197359632700682,60.95658564567566
56.748604,65.25602,1,1,9.550958,2.7250552,1,1,455.8849158287048,7822.385284423828,5.891674306243658,53.93916201591492
56.830105,65.31815,1,1,11.172014,3.24652,1,1,197.78365314006805,3781.025451660156,6.917180392891169,57.55457091331482
56.232464,64.833786,1,1,10.070608,2.3635936,1,1,395.32632970809937,7094.393905639648,5.738361041992903,49.43362975120544
55.969097,65.013466,1,1,8.441705,2.4169557,1,1,457.6889266967773,6759.943161010742,5.492318065837026,37.84273409843445
56.182735,65.49241,1,1,10.968615,3.1848738,1,1,215.2129340171814,3252.768211364746,6.787909302860498,57.30277705192566
56.507576,64.63581,1,1,11.30366,2.7818758,1,1,150.91452127695084,2993.029644012451,6.569936206564307,60.61626958847046
0.0,0.0,0,0,11.9584,0.0,1,0,0.0205516815185546,0.798958495259285,0.1868499964475632,0.0
56.345394,64.890465,1,1,8.467266,2.1028218,1,1,526.9544992446899,8455.818222045898,5.354791040532291,53.54430222511292
56.57126,65.23472,1,1,11.647975,3.7941134,1,1,7.186731277033687,204.67239451408383,5.973532401025295,60.9420177936554
56.441097,65.20801,1,1,10.294398,2.8595574,1,1,310.7719863653183,4856.855056762695,6.404114434495568,60.82766366004944
