fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
57.00849,64.98579,1,1,11.118947,2.5793073,1,1
56.710037,64.96308,1,1,11.797709,3.2796535,1,1
56.649853,65.68719,1,1,11.259701,3.452896,1,1
56.399483,65.65135,1,1,11.687056,4.0725384,1,1
57.10512,65.000374,1,1,11.02827,2.6601088,1,1
56.962143,65.29248,1,1,11.68733,3.3611016,1,1
56.630745,65.4375,1,1,11.466378,3.431979,1,1
56.623146,64.597496,1,1,8.076332,1.9446675,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.21764,65.646835,1,1,11.9551325,3.7744858,1,1
56.136345,65.74206,1,1,8.049126,3.1199853,1,1
57.08488,64.92347,1,1,10.655165,2.6760716,1,1
56.895985,65.175766,1,1,12.139985,3.729978,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.024563,65.46351,1,1,11.758802,3.6499364,1,1
56.570477,65.37957,1,1,10.086657,2.8877022,1,1
-1024.0,-1024.0,0,0,11.732196,3.0457864,1,1
56.354923,65.47019,1,1,11.140749,3.562837,1,1
56.966827,65.52844,1,1,10.778101,2.9815493,1,1
56.327866,65.09766,1,1,9.561991,2.4822347,1,1
-1024.0,68.899376,0,3,11.681448,4.625863,1,1
56.648014,65.324974,1,1,10.002934,2.9336145,1,1
56.501522,64.649185,1,1,8.1174345,2.0418763,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.668392,64.98429,1,1,12.8794775,4.5190315,1,1
56.84,64.88921,1,1,8.97246,2.326596,1,1
56.689472,65.43375,1,1,10.914013,3.0157843,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.613964,65.10735,1,1,11.026461,2.6688712,1,1
56.387497,65.208046,1,1,9.454963,2.4811502,1,1
56.163532,65.43847,1,1,11.153345,3.7812223,1,1
56.11416,65.06313,1,1,10.925376,3.407789,1,1
56.44563,-1024.0,1,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,10.104875,-1024.0,1,0
-1024.0,-1024.0,0,0,12.25295,4.0856285,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.80371,65.30338,1,1,11.8819475,3.779508,1,1
56.745045,65.847,1,1,11.898249,4.528643,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.33529,65.00382,1,1,9.246887,2.3618774,1,1
56.36396,65.32938,1,1,11.353347,3.8223348,1,1
56.389477,64.62804,1,1,11.108052,3.0735428,1,1
56.602955,65.14003,1,1,11.286579,3.2626114,1,1
57.09937,65.0519,1,1,12.711827,3.949494,1,1
56.330647,65.24782,1,1,8.496214,2.4578824,1,1
-1024.0,-1024.0,0,0,-10.404533,3.4639595,2,1
56.49641,65.0079,1,1,9.757541,2.5063145,1,1
56.77732,64.651535,1,1,11.327599,2.628074,1,1
56.75979,65.20641,1,1,11.806133,3.5478063,1,1
56.99163,65.071686,1,1,11.701219,3.5807343,1,1
57.42008,65.47612,1,1,11.8804865,3.3882563,1,1
-1024.0,-1024.0,0,0,-10.327375,-1024.0,2,0
56.612167,65.12096,1,1,10.458923,2.7340178,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.672546,65.235596,1,1,10.913902,2.7604864,1,1
-1024.0,-1024.0,0,0,-10.956425,5.899324,2,1
56.339718,65.2935,1,1,11.009097,3.1394763,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.330757,64.89996,1,1,11.713489,3.533265,1,1
55.911842,64.94745,1,1,9.065699,2.3672152,1,1
56.738613,64.99911,1,1,9.873049,2.5471532,1,1
56.559982,65.14792,1,1,10.5791025,2.6939905,1,1
56.335144,64.78232,1,1,8.34929,2.0881567,1,1
56.419403,64.56446,1,1,10.650638,2.3786173,1,1
56.353043,65.00185,1,1,11.116458,2.9053671,1,1
56.752068,64.97688,1,1,9.811432,2.340606,1,1
56.83202,64.958244,1,1,11.837609,3.4807801,1,1
56.758297,65.47792,1,1,10.2488785,2.9342704,1,1
56.16954,65.28144,1,1,7.958117,2.5693936,1,1
56.70983,64.6582,1,1,9.464577,2.0988734,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.467983,65.19167,1,1,8.966401,2.4559982,1,1
56.65848,65.063576,1,1,9.338091,2.3273618,1,1
56.182644,-1024.0,1,0,11.698993,-1024.0,1,0
56.50879,65.46075,1,1,9.30924,2.8092637,1,1
56.362717,64.83777,1,1,10.873535,2.6884499,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.340694,65.16218,1,1,9.099366,2.7521558,1,1
-1024.0,-1024.0,0,0,-10.112357,4.1613393,2,1
56.312344,64.96403,1,1,10.412532,2.5592206,1,1
57.11454,65.68884,1,1,12.197181,4.088537,1,1
-1024.0,-1024.0,0,0,-18.64543,-1024.0,3,0
56.144478,64.91388,1,1,10.742244,2.596828,1,1
56.363823,64.84632,1,1,9.24633,2.1508272,1,1
56.114326,64.81763,1,1,11.070547,3.0593092,1,1
56.621,64.67652,1,1,9.45747,1.9540133,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.897255,65.01696,1,1,10.080422,2.271325,1,1
56.677673,65.11349,1,1,10.838947,2.6082807,1,1
56.061707,65.03044,1,1,10.633204,2.8026855,1,1
55.9578,65.107445,1,1,8.94819,2.6846406,1,1
56.597164,64.934525,1,1,11.114406,2.8946664,1,1
56.308247,65.40242,1,1,8.348508,2.59001,1,1
56.430096,64.900055,1,1,7.9118185,2.245849,1,1
56.4024,65.24029,1,1,10.615626,2.8598843,1,1
57.24599,65.29624,1,1,12.13007,3.7199438,1,1
56.25972,64.64192,1,1,11.245157,2.7708833,1,1
56.62663,65.08342,1,1,11.833803,3.9469202,1,1
56.51334,65.50886,1,1,11.347347,3.3757703,1,1
56.536667,64.743004,1,1,11.785396,3.0046334,1,1
56.88928,65.12537,1,1,11.761916,3.3166046,1,1
56.758766,65.3403,1,1,11.537247,3.6181803,1,1
56.042805,65.31873,1,1,8.318182,2.4725137,1,1
56.05472,65.03837,1,1,7.9010353,2.3946447,1,1
57.02654,65.01095,1,1,11.766836,3.118932,1,1
56.779224,64.80002,1,1,11.792502,3.0899417,1,1
57.680233,-1024.0,1,0,12.753165,3.832524,1,1
56.413517,64.81851,1,1,8.481015,2.1958544,1,1
56.41948,64.89335,1,1,9.569301,2.2527409,1,1
56.73438,64.945885,1,1,11.826732,3.692418,1,1
56.467987,64.82263,1,1,9.644756,2.1221018,1,1
56.81899,65.37305,1,1,8.314139,2.7180185,1,1
56.568474,65.12188,1,1,11.550913,3.1856968,1,1
56.582603,64.56957,1,1,11.474223,2.8749456,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.72429,65.87824,1,1,11.9555645,4.1616106,1,1
56.435963,65.23272,1,1,11.574764,3.7978723,1,1
56.98877,65.94393,1,1,12.376686,3.536337,1,1
-1024.0,-1024.0,0,0,11.108011,-1024.0,1,0
55.901608,64.98548,1,1,7.8011217,2.2336128,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.630478,65.05995,1,1,10.870815,2.7300944,1,1
55.88605,65.78351,1,1,11.032347,3.9112654,1,1
56.338478,64.90848,1,1,10.051835,2.4859955,1,1
56.441643,65.3823,1,1,10.838356,3.362025,1,1
56.397423,64.73492,1,1,10.55549,2.5916116,1,1
57.033592,65.23757,1,1,12.528562,4.0457067,1,1
56.737545,65.46845,1,1,10.816197,2.8143933,1,1
56.065647,64.845695,1,1,11.091664,2.9627938,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.93583,65.687836,1,1,9.816464,3.461458,1,1
56.457462,64.58085,1,1,10.2687845,1.9843597,1,1
56.5704,65.454025,1,1,11.6600275,3.5520387,1,1
56.67653,64.88061,1,1,9.292932,2.2987237,1,1
56.994663,65.43543,1,1,11.906815,3.619869,1,1
56.42297,65.83341,1,1,10.657089,3.277862,1,1
56.746063,65.14465,1,1,10.082066,2.5514963,1,1
55.96935,64.81974,1,1,9.653517,2.5561833,1,1
56.56421,65.39745,1,1,7.791272,2.7726722,1,1
56.613937,64.79995,1,1,12.05689,3.5204027,1,1
56.499115,65.54016,1,1,11.276234,3.5313127,1,1
56.675854,65.32521,1,1,10.997541,2.9696639,1,1
